"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"46","Hepatocellular carcinoma","138/168",1.46670414009781e-07,9.82054076413313e-07,0,0,2.61905515549577,41.211036762451,"RB1;SMARCB1;ARAF;KEAP1;FZD10;ELK1;ACTB;ACTG1;IGF1R;FRAT2;CCND1;MYC;AKT2;AKT3;DPF1;AKT1;DPF3;ARID2;MAP2K1;SMARCC1;MAP2K2;SMARCC2;PRKCB;WNT5A;PRKCA;RAF1;TP53;SHC4;SHC3;SHC1;MGST3;TCF7;MGST1;MGST2;PIK3R3;TGFA;PIK3R2;PIK3R1;TERT;DVL1;PLCG2;DVL2;HMOX1;DVL3;PLCG1;WNT1;WNT2;WNT4;FZD1;SMAD2;TGFB2;WNT10A;FZD3;SMAD4;TGFB1;SMAD3;FZD2;FZD5;PHF10;TGFB3;FZD4;WNT3A;GADD45A;FZD7;FZD6;FZD9;IGF2;BRAF;SMARCA2;SMARCA4;CDK6;CDK4;GRB2;BCL2L1;GSTM5;NFE2L2;GSK3B;CDKN1A;WNT2B;PTEN;PIK3CD;PIK3CB;POLK;HRAS;APC2;PBRM1;GSTO2;GSTO1;GAB1;AXIN1;WNT9B;AXIN2;WNT9A;WNT16;ARID1A;ARID1B;TGFBR1;TGFBR2;DDB2;PIK3CA;SOS1;SOS2;MET;SMARCD1;SMARCD2;SMARCD3;GSTP1;LEF1;LRP5;WNT8B;EGFR;LRP6;NRAS;WNT11;E2F1;E2F2;MAPK1;E2F3;BAK1;BRD7;MAPK3;SMARCE1;NQO1;TCF7L2;TXNRD3;BAD;CSNK1A1;CDKN2A;TXNRD1;WNT7B;WNT7A;MTOR;APC;RPS6KB1;RPS6KB2;BAX;CTNNB1;KRAS"
"47","Ras signaling pathway","184/232",2.13823304214238e-07,1.40122505740394e-06,0,0,2.18503957853493,33.5580909713647,"CSF1;CALML6;CALML3;CALML4;FGF1;ELK1;FGF2;ETS1;ETS2;IGF1R;FGF5;RASSF1;FGF7;HTR7;TBK1;SYNGAP1;FGF9;AKT2;RASSF5;AKT3;KDR;AKT1;PLCE1;PRKACA;PRKACB;PDGFRB;PDGFRA;RALBP1;MAP2K1;MAP2K2;PRKCB;PRKCA;PGF;TIAM1;RAF1;EPHA2;PLA1A;SHC4;CSF1R;RAB5B;RAB5C;SHC3;SHC1;PDGFB;PDGFA;TGFA;PIK3R3;PIK3R2;RASAL1;PIK3R1;PLA2G5;RASAL2;FOXO4;RASAL3;EFNA5;PLD1;STK4;RASGRP1;RASGRP3;PLD2;RAP1B;GRIN2A;RAP1A;RRAS;PDGFC;PLCG2;ABL1;ABL2;PLCG1;RALGDS;FGF23;FGF21;BRAP;NGFR;BDNF;INSR;IGF2;IGF1;GNG12;GRIN2B;GNG11;NFKB1;EFNA1;AFDN;EFNA3;EFNA2;GNB2;FGF19;GNB1;REL;GNB4;NF1;GNB3;CALM3;GRB2;GNB5;CALM1;RGL1;FGFR4;CALM2;RGL2;RAB5A;FGFR3;FGFR2;BCL2L1;FGFR1;FGF10;FLT1;FLT3;RASGRF2;FLT4;RASGRF1;PIK3CD;FASLG;PIK3CB;IKBKB;RAC2;RAC3;RAC1;IKBKG;HRAS;PLA2G12A;PLA2G4D;KSR1;CHUK;PLA2G4E;PLA2G4B;GAB1;RRAS2;PLA2G4A;GAB2;KSR2;RHOA;MRAS;PIK3CA;RASA3;RASA4;JMJD7-PLA2G4B;RASA1;KIT;RASA2;RAPGEF5;SOS1;SOS2;MET;EXOC2;ARF6;RALA;RELA;EGFR;CDC42;MAPK9;NRAS;PAK1;GNG3;MAPK8;GNG2;GNG5;GNG4;GNG7;PAK6;GNG8;MAPK1;SHOC2;PAK3;PAK2;PAK5;PAK4;MAPK3;PLA2G2F;ANGPT4;NTRK2;PLA2G2D;EGF;BAD;PLA2G2C;PLA2G2A;VEGFB;VEGFC;PTPN11;VEGFA;MAPK10;KITLG;KRAS"
"48","Epithelial cell signaling in Helicobacter pylori infection","62/68",2.38551804228431e-07,1.53070741046577e-06,0,0,5.86772070583917,89.4749915099916,"CXCL8;TCIRG1;F11R;IKBKB;CASP3;RAC1;IKBKG;ATP6V1E1;ATP6V1E2;GIT1;MAP2K4;ATP6V1G1;ATP6V0B;ATP6V1G2;ATP6V0E1;ATP6AP1;CHUK;ADAM10;ADAM17;ATP6V1B2;ATP6V0D1;ATP6V0C;MET;ATP6V0D2;HBEGF;ATP6V1B1;ATP6V1A;SRC;RELA;EGFR;CDC42;MAPK9;PAK1;MAPK8;PTPRZ1;CCL5;CXCR2;PLCG2;ATP6V0A2;ATP6V1H;CSK;PLCG1;ATP6V1G3;ATP6V0E2;ATP6V1D;JAM2;ATP6V1C1;JAM3;ATP6V1F;ATP6V0A1;LYN;JUN;PTPN11;MAPK14;MAPK12;NFKB1;MAPK13;NFKBIA;MAPK10;TJP1;MAPK11;MAP3K14"
"49","Endometrial cancer","54/58",2.45931644422809e-07,1.54585605065766e-06,0,0,7.66319471739643,116.620123399234,"GSK3B;CDKN1A;ARAF;PTEN;ILK;PIK3CD;PIK3CB;ELK1;CASP9;CCND1;CDH1;MYC;AKT2;AKT3;AKT1;POLK;HRAS;APC2;MAP2K1;MAP2K2;PDPK1;AXIN1;AXIN2;DDB2;PIK3CA;RAF1;SOS1;SOS2;TP53;LEF1;TCF7;PIK3R3;PIK3R2;PIK3R1;FOXO3;EGFR;NRAS;ERBB2;CTNNA1;MAPK1;CTNNA3;BAK1;MAPK3;TCF7L2;EGF;BAD;GADD45A;BRAF;MLH1;APC;BAX;CTNNB1;KRAS;GRB2"
"50","p53 signaling pathway","65/72",3.08550804540678e-07,1.90067295597058e-06,0,0,5.27335056760706,79.0547986710873,"STEAP3;CDKN1A;CD82;SERPINE1;PTEN;BBC3;CASP9;PIDD1;CCND3;CASP8;CCND2;CCND1;SESN3;AIFM2;CHEK2;CASP3;SESN1;CHEK1;SESN2;GTSE1;APAF1;IGFBP3;SHISA5;SERPINB5;DDB2;RRM2B;CCNE2;CCNE1;TP53;EI24;RCHY1;PPM1D;THBS1;CCNB2;CCNB1;COP1;ZMAT3;PERP;PMAIP1;SFN;BID;RPRM;RRM2;SIVA1;CDKN2A;GADD45A;SIAH1;TNFRSF10B;IGF1;CDK6;CDK4;CCNG2;CDK2;CCNG1;BCL2;CDK1;MDM2;FAS;BAX;CYCS;ATM;MDM4;ATR;TP73;BCL2L1"
"51","Relaxin signaling pathway","109/130",3.79180517392263e-07,2.28995292856504e-06,0,0,2.95217041498425,43.648587801533,"ATF2;RXFP4;RXFP2;EDNRB;CREB3L1;AKT2;CREB3L2;AKT3;AKT1;PRKACA;PRKACB;MAP2K4;MAP2K1;MAP2K2;PRKCA;ADCY9;COL4A2;COL4A1;COL4A4;COL4A3;COL4A6;COL4A5;RAF1;ATF4;SHC4;SHC3;SHC1;PIK3R3;PIK3R2;PIK3R1;PRKCZ;MAP2K7;SMAD2;JUN;TGFB1;SMAD3;GNG12;GNG11;NFKB1;COL1A1;NFKBIA;GNAO1;COL1A2;GNB2;GNB1;GNAS;GNB4;RLN2;GNB3;GRB2;GNB5;RLN1;PIK3CD;ARRB1;PIK3CB;ARRB2;NOS1;INSL3;HRAS;EDN1;MMP2;FOS;MMP9;TGFBR1;TGFBR2;ACTA2;CREB1;MMP13;PIK3CA;SOS1;PLCB1;SOS2;CREB5;ATF6B;SRC;GNAI3;ADCY3;ADCY2;ADCY1;ADCY7;RELA;EGFR;ADCY6;GNAI1;ADCY5;GNAI2;MAPK9;NRAS;GNG3;MAPK8;GNG2;GNG5;GNG4;GNG7;GNG8;MAPK1;MAPK3;NOS2;NOS3;VEGFB;VEGFC;MAPK14;MAPK12;MAPK13;VEGFA;MAPK10;MAPK11;COL3A1;KRAS"
"52","Rap1 signaling pathway","164/206",6.12574695390964e-07,3.6283270419311e-06,0,0,2.22408252810283,31.8168237830879,"CSF1;CALML6;CTNND1;ITGA2B;CALML3;CALML4;FGF1;FGF2;ACTB;CRKL;ACTG1;IGF1R;FGF5;FGF7;FGF9;CDH1;AKT2;RASSF5;AKT3;KDR;AKT1;PLCE1;PDGFRB;MAP2K3;MAGI1;PDGFRA;PRKCI;MAP2K1;MAP2K2;PRKCB;MAGI3;F2R;MAGI2;PRKCA;PGF;TIAM1;ADCY9;PRKD3;PARD3;PRKD2;PRKD1;TLN1;PFN1;RAF1;EPHA2;PFN2;CSF1R;PDGFB;LPAR1;FPR1;LPAR2;PDGFA;PIK3R3;LPAR3;PIK3R2;PIK3R1;EFNA5;PRKCZ;RAP1GAP;RASGRP3;RAP1B;GRIN2A;RAP1A;RRAS;PDGFC;PLCG1;RALGDS;FGF23;FGF21;MAP2K6;VASP;NGFR;FYB1;INSR;BRAF;IGF1;GRIN2B;EFNA1;GNAO1;AFDN;EFNA3;EFNA2;GNAQ;FGF19;ID1;GNAS;CALM3;CALM1;FGFR4;CALM2;FGFR3;FGFR2;FGFR1;FGF10;ITGB1;DOCK4;FLT1;FLT4;ITGB3;PIK3CD;PIK3CB;SIPA1L2;ITGAL;SIPA1L3;SIPA1L1;RAC2;RAC3;RAC1;HRAS;ARAP3;RHOA;VAV2;MRAS;PIK3CA;ADORA2A;KIT;RAPGEF1;RAPGEF2;LCP2;RAPGEF5;PLCB1;RAPGEF6;MET;CRK;RAPGEF3;RALA;RGS14;SRC;GNAI3;ADCY3;PARD6G;ADCY2;ADCY1;ADCY7;THBS1;ADCY6;GNAI1;EGFR;ADCY5;GNAI2;CDC42;NRAS;PARD6B;CNR1;P2RY1;KRIT1;MAPK1;MAPK3;FARP2;ANGPT4;EGF;VEGFB;VEGFC;MAPK14;MAPK12;VEGFA;MAPK13;MAPK11;KITLG;CTNNB1;KRAS;SIPA1;BCAR1;F2RL3"
"53","Mitophagy","59/65",7.00214953443138e-07,3.99381862334234e-06,0,0,5.58248138827724,79.1142478107408,"CITED2;CALCOCO2;TBK1;FUNDC1;USP30;HRAS;USP8;GABARAPL2;BNIP3L;GABARAPL1;CSNK2A1;ATG9B;CSNK2A3;ATG9A;TFE3;CSNK2A2;RRAS2;MITF;MRAS;TAX1BP1;ULK1;PGAM5;SQSTM1;TP53;OPTN;RAB7A;ATF4;PRKN;BECN1;USP15;SRC;AMBRA1;FOXO3;HIF1A;RELA;GABARAP;BCL2L13;MAPK9;NRAS;RHOT2;MAPK8;RHOT1;RRAS;UBB;E2F1;MFN1;MFN2;TBC1D15;ATG5;JUN;BNIP3;EIF2AK3;MAPK10;PINK1;SP1;NBR1;TOMM7;KRAS;BCL2L1"
"54","Shigellosis","59/65",7.00214953443138e-07,3.99381862334234e-06,0,0,5.58248138827724,79.1142478107408,"ITGB1;CXCL8;ARPC1B;UBE2D2;ARPC1A;ARPC5L;WASL;ACTB;CRKL;ACTG1;IKBKB;RAC1;IKBKG;BTRC;CHUK;FBXW11;RIPK2;RHOG;CTTN;ELMO1;ELMO2;HCLS1;ITGA5;PFN1;DOCK1;CRK;CD44;VCL;PFN2;ROCK1;ROCK2;SRC;U2AF1;NOD2;RELA;U2AF1L4;CDC42;MAPK9;MAPK8;ABL1;MAPK1;WASF1;WASF2;MAPK3;ATG5;ARPC4;ARPC5;MAPK14;MAPK12;NFKB1;MAPK13;NFKBIA;MAPK10;MAD2L2;MAPK11;DIAPH1;ARPC2;ARPC3;NFKBIB"
"55","Chagas disease (American trypanosomiasis)","88/103",9.37575834006011e-07,5.25042467043366e-06,0,0,3.33401644728199,46.2760422424355,"CXCL8;SERPINE1;PIK3CD;PPP2R2A;FASLG;CD3G;PIK3CB;TNF;CD3D;IKBKB;CASP8;PPP2R1B;PPP2R1A;AKT2;AKT3;BDKRB2;AKT1;IL12B;IKBKG;IL10;MAP2K4;CHUK;IFNGR1;IFNGR2;IRAK4;FOS;TGFBR1;TNFRSF1A;TGFBR2;PIK3CA;TRAF6;IL1B;TLR6;PLCB1;TLR4;TLR2;GNAI3;PIK3R3;PIK3R2;PIK3R1;ADCY1;RELA;GNAI1;GNAI2;C3;PPP2CA;PPP2CB;GNA14;MAPK9;MAPK8;IRAK1;GNA11;CCL5;CCL3;CCL2;MAPK1;FADD;MAPK3;SMAD2;TGFB2;JUN;TGFB1;SMAD3;ACE;NOS2;TGFB3;IFNB1;CFLAR;MAPK14;NFKB1;MAPK12;MAPK13;NFKBIA;GNAO1;MAPK10;MAPK11;IL6;GNAL;PPP2R2C;PPP2R2B;GNAQ;PPP2R2D;GNAS;FAS;CALR;CD247;MYD88;C1QC"
"56","Gastric cancer","122/149",1.07721577462218e-06,5.924686760422e-06,0,0,2.57048101606704,35.3213159429967,"RB1;ARAF;FZD10;FGF1;FGF2;FGF5;FGF7;FRAT2;CCND1;FGF9;CDH1;MYC;AKT2;AKT3;AKT1;MAP2K1;MAP2K2;WNT5A;CCNE2;CCNE1;RAF1;TP53;SHC4;SHC3;ABCB1;SHC1;TCF7;PIK3R3;PIK3R2;PIK3R1;TERT;DVL1;DVL2;DVL3;WNT1;FGF23;WNT2;FGF21;WNT4;FZD1;SMAD2;TGFB2;WNT10A;FZD3;SMAD4;TGFB1;SMAD3;FZD2;FZD5;JUP;TGFB3;FZD4;WNT3A;GADD45A;FZD7;REG4;FZD6;FZD9;BRAF;FGF19;CDK2;BCL2;GRB2;FGFR2;FGF10;GSK3B;CDKN1A;WNT2B;CDKN1B;PIK3CD;PIK3CB;SHH;POLK;HRAS;APC2;GAB1;AXIN1;WNT9B;AXIN2;WNT9A;WNT16;TGFBR1;TGFBR2;DDB2;PIK3CA;RARB;SOS1;SOS2;MET;LEF1;LRP5;WNT8B;EGFR;LRP6;RXRB;NRAS;RXRA;WNT11;ERBB2;E2F1;CTNNA1;E2F2;MAPK1;E2F3;CTNNA3;BAK1;MAPK3;TCF7L2;CDKN2B;CDX2;EGF;CSNK1A1;WNT7B;WNT7A;MLH1;MTOR;APC;RPS6KB1;RPS6KB2;BAX;CTNNB1;KRAS"
"57","TGF-beta signaling pathway","78/90",1.14288334151619e-06,6.17558016117523e-06,0,0,3.69256517287548,50.5215151151877,"BMPR2;ZFYVE9;TNF;PPP2R1B;PPP2R1A;HJV;MYC;EP300;AMH;PITX2;NEO1;SKP1;ACVR1;TGIF1;LEFTY1;TGIF2;FST;NOG;RGMB;RHOA;TGFBR1;DCN;RGMA;TGFBR2;RBX1;RBL1;ZFYVE16;TFDP1;NBL1;ROCK1;CUL1;ACVR1B;THBS1;LTBP1;PPP2CA;PPP2CB;MAPK1;E2F4;E2F5;LEFTY2;MAPK3;SMAD2;SMAD1;TGFB2;CREBBP;SMAD4;CDKN2B;TGFB1;SMAD3;SMURF2;TGFB3;SMURF1;BMP8A;BMP8B;SMAD9;INHBB;INHBA;SMAD6;BMP7;ACVR2B;SMAD5;ACVR2A;GDF7;SMAD7;BMP4;BMP2;RPS6KB1;SP1;BAMBI;ID2;ID1;RPS6KB2;ID4;ID3;BMPR1B;FMOD;NODAL;BMPR1A"
"58","Apoptosis","117/143",1.92194147484498e-06,1.02061719698664e-05,0,0,2.55929056723021,33.6858295488595,"TNF;ACTB;ACTG1;AKT2;AKT3;CAPN2;TNFSF10;AKT1;CAPN1;MAP3K5;MAP2K1;MAP2K2;ERN1;DDIT3;RAF1;TP53;ATF4;DIABLO;ITPR1;HTRA2;ITPR2;PIK3R3;CSF2RB;ITPR3;PIK3R2;PIK3R1;SPTA1;BCL2L11;PMAIP1;RIPK1;FADD;MCL1;NGFR;JUN;GADD45A;EIF2AK3;TNFRSF10B;TNFRSF10A;EIF2S1;NFKB1;NFKBIA;BCL2;CYCS;ATM;MAP3K14;BCL2L1;HRK;TRADD;CTSZ;PIK3CD;FASLG;PIK3CB;CTSV;LMNB2;CTSS;LMNB1;BBC3;CASP9;IKBKB;PIDD1;TUBA1C;CASP7;TUBA1B;CASP8;TUBA1A;CASP10;CTSL;CTSK;CASP3;CASP2;CTSH;IKBKG;CTSD;HRAS;SPTAN1;CTSC;CTSB;BOK;DFFB;DFFA;PARP3;PARP4;APAF1;CHUK;PARP1;PARP2;PDPK1;TRAF2;TRAF1;FOS;TNFRSF1A;PIK3CA;BIRC5;BIRC6;BIRC2;BIRC3;BECN1;TUBAL3;BCL2A1;XIAP;RELA;MAPK9;NRAS;MAPK8;LMNA;MAPK1;BAK1;BID;MAPK3;BAD;DAB2IP;CFLAR;PTPN13;MAPK10;FAS;BAX;KRAS"
"59","Thyroid hormone signaling pathway","97/116",2.13064853786421e-06,1.11227076213928e-05,0,0,2.90176102822129,37.8943414412041,"ACTB;ACTG1;CCND1;MYC;AKT2;AKT3;AKT1;PLCE1;EP300;PRKACA;PRKACB;MED1;MAP2K1;MAP2K2;PRKCB;DIO2;ATP1B4;ATP1B3;PRKCA;ATP1B2;MED4;ATP1B1;RAF1;TP53;PFKFB2;NOTCH2;NOTCH3;NOTCH1;PIK3R3;PIK3R2;PIK3R1;HIF1A;FOXO1;MED12L;SLC9A1;MED30;PLCG2;PLCG1;WNT4;CREBBP;SLC16A10;ESR1;MED13L;BMP4;RCAN1;RHEB;RCAN2;MDM2;GSK3B;THRB;THRA;ITGB3;SLC2A1;PIK3CD;ATP2A2;PIK3CB;MED16;MED17;MED12;CASP9;MED14;MED13;SIN3A;ITGAV;HRAS;NCOA1;NCOA2;PDPK1;NCOA3;SLCO1C1;KAT2B;KAT2A;MED24;NCOR1;PIK3CA;TBC1D4;PLCB1;HDAC2;HDAC3;SRC;HDAC1;ATP1A3;ATP1A2;ATP1A1;RXRB;NRAS;RXRA;MAPK1;MAPK3;BAD;STAT1;MTOR;CTNNB1;KRAS;PLCD3;PLCD1;PFKP"
"60","C-type lectin receptor signaling pathway","88/104",2.26859760677492e-06,1.16454677147779e-05,0,0,3.1252069047056,40.6162787299442,"CALML6;PIK3CD;CALML3;CBLB;CALML4;PIK3CB;LSP1;TNF;PYCARD;IKBKB;PPP3CA;PPP3CB;CASP8;PPP3CC;AKT2;AKT3;CASP1;AKT1;IL12B;IKBKG;HRAS;IKBKE;IL10;ARHGEF12;KSR1;SYK;CHUK;PRKCD;RRAS2;RHOA;CLEC4D;MRAS;PIK3CA;IL1B;IRF1;MAPKAPK2;RAF1;IRF9;SRC;ITPR1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;BCL10;PTGS2;RELA;MALT1;MAPK9;PPP3R1;NRAS;PAK1;MAPK8;PPP3R2;RRAS;PLCG2;NLRP3;MAPK1;MAPK3;PLK3;EGR2;JUN;EGR3;CCL22;STAT1;STAT2;NFATC3;NFATC2;PTPN11;MAPK14;NFKB1;MAPK12;NFKB2;MAPK13;NFKBIA;MAPK10;CYLD;MAPK11;IL6;CD209;BCL3;MDM2;CALM3;KRAS;CALM1;CALM2;MAP3K14"
"61","Acute myeloid leukemia","59/66",2.47433320275106e-06,1.24933545319234e-05,0,0,4.78432121511706,61.7633842396013,"SPI1;FLT3;ARAF;PIK3CD;PIK3CB;MPO;IKBKB;CCND1;MYC;AKT2;AKT3;PIM1;AKT1;PIM2;IKBKG;HRAS;MAP2K1;MAP2K2;CHUK;DUSP6;RUNX1;CCNA1;PIK3CA;KIT;RARA;RAF1;SOS1;SOS2;PPARD;CSF1R;CEBPA;BCL2A1;LEF1;TCF7;PIK3R3;PIK3R2;PIK3R1;RELA;NRAS;EIF4EBP1;MAPK1;RUNX1T1;MAPK3;STAT5A;STAT5B;TCF7L2;JUP;BAD;ZBTB16;STAT3;BRAF;PML;NFKB1;MTOR;PER2;RPS6KB1;RPS6KB2;KRAS;GRB2"
"62","mRNA surveillance pathway","78/91",2.98402383511234e-06,1.4823860342171e-05,0,0,3.40804914546743,43.358011962688,"HBS1L;DAZAP1;SMG1;NXT1;EIF4A3;MSI1;PPP2R2A;MSI2;NXT2;SMG7;SMG5;SMG6;PPP1CB;PNN;PPP1CC;PPP2R1B;PPP2R5E;PPP2R1A;PCF11;PAPOLG;MAGOH;PAPOLA;PABPC4L;PELO;UPF2;UPF1;NCBP1;NCBP2;PABPC4;PPP2R5B;SSU72;PPP2R5A;PPP2R5D;PPP2R5C;SRRM1;WDR33;DDX39B;WDR82;PABPC3;ETF1;PABPC1;RBM8A;RNMT;CSTF3;CSTF2;CSTF2T;GSPT2;GSPT1;PPP2CA;NXF1;PPP2CB;PABPN1;FIP1L1;PPP2R3C;CSTF1;SAP18;SYMPK;PABPC1L2B;PABPC1L2A;BCL2L2-PABPN1;CPSF4;CPSF7;CPSF6;CPSF1;CPSF3;ALYREF;CPSF2;UPF3A;PPP2R3B;PPP2R3A;PPP1CA;NUDT21;PPP2R2C;PPP2R2B;PPP2R2D;ACIN1;RNPS1;PABPC1L"
"63","PI3K-Akt signaling pathway","266/354",3.16135002814611e-06,1.54554890264921e-05,0,0,1.72461464109478,21.841401778445,"ATF2;PPP2R2A;PPP2R1B;PPP2R1A;CREB3L1;MYC;AKT2;MYB;CREB3L2;AKT3;KDR;AKT1;PRKCA;EREG;CDC37;DDIT4;TP53;EPHA2;ATF4;PDGFB;LPAR1;LPAR2;PDGFA;TGFA;PIK3R3;LPAR3;PIK3R2;PIK3R1;PIK3R6;PIK3R5;CD19;PDGFC;PCK1;NGFR;INSR;IGF2;FN1;IGF1;GNG12;GNG11;PTK2;COL1A1;COL1A2;LPAR6;COL9A1;GRB2;COL9A2;CDKN1A;CDKN1B;BRCA1;AREG;IKBKB;RPTOR;GYS1;RAC1;IKBKG;JAK2;HRAS;JAK3;JAK1;SYK;OSMR;KIT;SGK3;SGK1;TLR4;TLR2;PHLPP2;PHLPP1;PKN3;RELA;EGFR;PPP2CA;PPP2CB;NRAS;RXRA;SPP1;IFNB1;VEGFB;VEGFC;VEGFA;KITLG;PKN2;PKN1;CHRM2;CSF3;CRTC2;CHRM1;CSF1;IRS1;ITGA2B;TNC;FGF1;FGF2;IGF1R;COMP;FGF5;CCND3;FGF7;STK11;CCND2;CCND1;FGF9;TNR;IL6R;PDGFRB;IFNAR2;MAGI1;PDGFRA;MAP2K1;G6PC;MAP2K2;RPS6;F2R;MAGI2;TSC1;PRLR;PGF;CCNE2;COL4A2;COL4A1;CCNE1;COL4A4;COL4A3;COL4A6;COL4A5;RAF1;IFNAR1;CSF1R;FOXO3;EFNA5;HSP90B1;BCL2L11;EIF4EBP1;THEM4;FGF23;FGF21;MCL1;BDNF;NFKB1;EFNA1;NR4A1;EFNA3;IL6;EFNA2;G6PC3;CDK6;RHEB;CDK4;ITGA10;GNB2;FGF19;ITGA11;GNB1;CDK2;GNB4;MDM2;BCL2;GNB3;GNB5;FGFR4;IL7R;FGFR3;FGFR2;BCL2L1;FGFR1;FGF10;YWHAE;ITGB1;GSK3B;FLT1;HSP90AB1;ITGB5;YWHAB;LAMC3;FLT3;FLT4;ITGB3;PTEN;PIK3CD;FASLG;LAMC2;PIK3CB;LAMC1;PIK3CG;CASP9;YWHAQ;PPP2R5E;ITGB8;ITGAV;YWHAG;YWHAH;HSP90AA1;ITGA4;VWF;CHUK;ITGA3;PDPK1;ITGA2;ITGA1;PPP2R5B;PPP2R5A;PPP2R5D;PPP2R5C;YWHAZ;RBL2;CREB1;PIK3CA;COL6A2;COL6A1;ITGA8;COL6A3;ITGA7;ITGA6;COL6A5;ITGA5;EIF4E2;SOS1;SOS2;MET;CREB5;ITGA9;LAMA5;PRKAA1;PRKAA2;ATF6B;LAMA2;LAMA4;IL2RG;THBS2;THBS1;THBS4;GNG3;GNG2;GNG5;ERBB3;GNG4;ERBB4;PPP2R3C;GNG7;ERBB2;GNG8;MAPK1;EIF4E;EIF4B;MAPK3;ANGPT4;NTRK2;EGF;BAD;LAMB2;NOS3;LAMB1;PPP2R3B;PPP2R3A;MTOR;EPOR;RPS6KB1;PPP2R2C;PPP2R2B;IL2RA;PPP2R2D;RPS6KB2;IL2RB;KRAS;PIK3AP1"
"64","Insulin signaling pathway","112/137",3.42981720161264e-06,1.65059952827608e-05,0,0,2.54726368159204,32.0522280557458,"CALML6;IRS1;INPPL1;ARAF;IRS4;CALML3;CBLB;IRS2;CALML4;ELK1;CRKL;PPP1CB;PPP1CC;LIPE;AKT2;AKT3;AKT1;PRKACA;PRKACB;PRKAB2;PRKCI;MAP2K1;G6PC;MAP2K2;RPS6;TSC1;PHKA1;PRKAB1;PPP1R3F;PPP1R3B;PRKAR1A;PPP1R3E;PPP1R3D;RAF1;SHC4;SHC3;SHC1;PIK3R3;PIK3R2;PIK3R1;PRKCZ;ACACB;FOXO1;ACACA;SOCS3;SOCS1;PRKAR2B;PRKAR2A;EIF4EBP1;INPP5K;PCK1;PPARGC1A;SOCS4;INSR;PHKB;BRAF;G6PC3;RHEB;FASN;CALM3;GRB2;CALM1;CALM2;GSK3B;PDE3B;PRKAG1;PIK3CD;SLC2A4;PIK3CB;PYGL;PTPRF;HK2;HK1;IKBKB;RPTOR;GYS1;FLOT1;FLOT2;HRAS;SREBF1;EXOC7;PDPK1;PIK3CA;RAPGEF1;EIF4E2;SOS1;SOS2;CRK;RHOQ;PRKAA1;PRKAA2;CBL;MAPK9;NRAS;MAPK8;MKNK2;PHKG2;MAPK1;EIF4E;MAPK3;PTPN1;PKLR;BAD;SORBS1;GCK;MTOR;PPP1CA;MAPK10;RPS6KB1;RPS6KB2;TRIP10;KRAS"
"65","Toxoplasmosis","94/113",4.85371955490072e-06,2.29991634293757e-05,0,0,2.81135059081344,34.3990258039461,"ITGB1;CIITA;LAMC3;LAMC2;LAMC1;TNF;PIK3CG;CASP9;IKBKB;CASP8;AKT2;CASP3;AKT3;AKT1;IL12B;IKBKG;HLA-DOA;CCR5;JAK2;MAP3K7;HLA-DOB;HLA-DPA1;JAK1;MAP2K3;IL10;CHUK;IFNGR1;PDPK1;IFNGR2;IRAK4;TYK2;TNFRSF1A;TRAF6;PPIF;ITGA6;TLR4;BIRC2;BIRC3;TLR2;LAMA5;LAMA2;LAMA4;GNAI3;LY96;XIAP;PIK3R6;RELA;GNAI1;PIK3R5;GNAI2;MAPK9;MAPK8;SOCS1;IRAK1;MAPK1;LDLR;HLA-DQA1;MAP2K6;MAPK3;HSPA8;TGFB2;HLA-DRB5;TGFB1;NOS2;TGFB3;BAD;IL10RB;LAMB2;STAT1;IL10RA;HSPA6;STAT3;LAMB1;HSPA2;MAPK14;NFKB1;MAPK12;MAPK13;NFKBIA;GNAO1;MAPK10;MAPK11;CD40LG;BCL2;HLA-DRA;CYCS;TAB2;TAB1;MYD88;HLA-DRB1;HSPA1B;BCL2L1;NFKBIB;HSPA1A"
